episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
153,6.0659,0.1213,3.49,69.96,7.57,54.20,192,830.91,272.48,98.86,50
154,7.9070,0.1581,2.99,34.93,11.75,57.47,128,855.38,275.57,98.01,50
155,6.0679,0.1214,176.15,497.22,2223.68,294.79,192,761.85,241.83,100.00,50
156,6.9990,0.1400,52.15,251.99,112.82,59.78,128,1008.53,325.35,90.73,50
157,7.2714,0.1454,82.55,419.70,2182.61,321.10,256,813.64,270.64,94.72,50
158,8.5996,0.1720,47.59,419.71,971.03,299.40,256,853.07,245.76,99.31,50
159,9.1426,0.1829,8.66,684.55,44.57,333.95,256,866.92,260.47,100.00,50
160,8.0645,0.1613,56.64,684.57,1098.59,334.86,256,805.07,271.94,99.29,50
161,8.1578,0.1632,29.62,684.57,503.88,225.55,256,1040.15,340.82,89.37,50
162,4.8698,0.0974,245.46,419.71,6992.43,398.38,256,819.13,290.55,97.93,50
163,6.9505,0.1390,34.82,43.06,311.97,69.16,256,760.38,274.76,99.35,50
164,6.9430,0.1389,196.95,130.11,7756.61,394.46,128,859.10,291.94,100.00,50
165,6.4402,0.1288,32.17,58.23,225.79,69.23,128,1008.83,311.38,98.07,50
166,9.3238,0.1865,6.46,58.23,31.99,59.05,128,867.47,292.60,93.34,50
167,5.6369,0.1127,11.83,419.68,48.31,339.71,256,906.67,330.58,88.69,50
168,7.7591,0.1552,2.99,34.93,11.75,57.47,128,952.76,280.38,85.59,50
169,6.3889,0.1278,321.28,419.71,9746.25,405.04,256,934.99,275.30,90.55,50
170,7.6068,0.1521,44.85,87.36,241.79,65.72,256,945.06,303.16,100.00,50
171,7.4309,0.1486,88.73,87.37,366.09,73.36,256,837.43,271.43,87.23,50
172,8.1020,0.1620,47.59,419.71,971.03,299.40,256,913.07,313.71,100.00,50
173,5.5599,0.1112,29.62,34.92,188.47,69.01,128,795.76,238.28,86.27,50
174,7.5621,0.1512,20.02,43.06,183.09,63.56,256,905.44,276.88,89.36,50
175,8.1299,0.1626,56.64,684.57,1098.59,334.86,256,878.59,291.35,97.87,50
176,7.6135,0.1523,20.02,43.06,183.09,63.56,256,874.29,260.88,91.97,50
177,7.6765,0.1535,321.28,419.71,9746.25,405.04,256,885.41,251.27,92.40,50
178,6.7254,0.1345,29.62,34.92,188.47,69.01,128,908.50,300.62,93.77,50
179,6.8913,0.1378,44.85,87.36,241.79,65.72,256,935.65,307.31,92.04,50
180,8.1278,0.1626,44.85,87.36,241.79,65.72,256,931.46,276.46,97.82,50
181,6.7543,0.1351,106.77,251.99,218.08,62.87,128,868.74,275.70,90.79,50
182,8.9827,0.1797,56.64,684.57,1098.59,334.86,256,859.97,256.37,85.39,50
183,9.0485,0.1810,11.83,419.68,48.31,339.71,256,742.46,303.94,99.05,50
184,7.8488,0.1570,418.27,256.81,10192.40,333.47,192,846.20,262.50,97.95,50
185,9.0296,0.1806,10.88,240.60,23.56,56.70,192,784.59,257.37,99.47,50
186,7.8407,0.1568,88.73,87.37,366.09,73.36,256,904.60,295.21,99.21,50
187,8.0264,0.1605,122.70,251.99,1669.30,288.55,128,857.53,296.79,97.37,50
188,7.2804,0.1456,10.88,240.60,23.56,56.70,192,811.36,276.04,86.93,50
189,6.5887,0.1318,10.67,58.23,64.12,60.14,128,964.09,309.61,98.07,50
190,8.9009,0.1780,270.48,251.99,606.25,70.97,128,932.28,304.67,100.00,50
191,7.5823,0.1516,29.62,684.57,503.88,225.55,256,919.20,320.89,99.25,50
192,10.4820,0.2096,46.37,497.22,1112.05,241.47,192,918.30,284.35,99.28,50
193,7.9618,0.1592,118.53,130.11,3499.14,360.50,128,922.75,304.48,98.57,50
194,8.3231,0.1665,46.37,497.22,1112.05,241.47,192,899.95,274.93,88.96,50
195,10.0162,0.2003,2.99,34.93,11.75,57.47,128,858.91,323.77,92.99,50
196,7.3287,0.1466,34.82,43.06,311.97,69.16,256,993.74,318.31,90.71,50
197,8.4407,0.1688,122.70,251.99,1669.30,288.55,128,961.32,286.30,100.00,50
198,10.8965,0.2179,6.91,43.07,37.08,58.92,256,794.41,233.62,94.16,50
199,8.3177,0.1664,3.09,43.06,12.31,58.00,256,883.56,304.34,98.35,50
200,9.5999,0.1920,8.26,130.13,35.35,239.43,128,845.32,267.21,89.41,50
