episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
115,4.6623,0.0932,22.12,497.22,468.13,209.53,192,0.00,0.00,100.00,50
116,8.0436,0.1609,38.09,130.12,1085.72,271.61,128,0.00,0.00,100.00,50
117,6.6793,0.1336,209.56,253.93,1552.49,206.21,192,0.00,0.00,100.00,50
118,7.1367,0.1427,209.56,253.93,1552.49,206.21,192,0.00,0.00,100.00,50
119,6.8552,0.1371,245.46,419.71,6992.43,398.38,256,0.00,0.00,100.00,50
120,6.4658,0.1293,6.46,58.23,31.99,59.05,128,0.00,0.00,100.00,50
121,9.6580,0.1932,86.49,684.57,2525.74,361.16,256,0.00,0.00,100.00,50
122,5.9272,0.1185,29.62,684.57,503.88,225.55,256,0.00,0.00,100.00,50
123,4.6451,0.0929,270.48,251.99,606.25,70.97,128,0.00,0.00,100.00,50
124,6.3494,0.1270,29.62,34.92,188.47,69.01,128,0.00,0.00,100.00,50
125,7.4719,0.1494,106.77,251.99,218.08,62.87,128,0.00,0.00,100.00,50
126,6.2468,0.1249,47.59,419.71,971.03,299.40,256,0.00,0.00,100.00,50
127,6.4079,0.1282,118.53,130.11,3499.14,360.50,128,0.00,0.00,100.00,50
128,5.3709,0.1074,2.99,34.93,11.75,57.47,128,0.00,0.00,100.00,50
129,5.9912,0.1198,18.61,87.37,77.66,61.05,256,0.00,0.00,100.00,50
130,6.3657,0.1273,245.46,419.71,6992.43,398.38,256,0.00,0.00,100.00,50
131,7.7056,0.1541,350.99,240.59,8941.61,352.63,192,0.00,0.00,100.00,50
132,7.4605,0.1492,176.15,497.22,2223.68,294.79,192,0.00,0.00,100.00,50
133,4.4108,0.0882,47.59,419.71,971.03,299.40,256,0.00,0.00,100.00,50
134,6.4151,0.1283,15.82,684.57,279.82,279.23,256,0.00,0.00,100.00,50
135,8.1362,0.1627,196.95,130.11,7756.61,394.46,128,0.00,0.00,100.00,50
136,3.4743,0.0695,22.12,497.22,468.13,209.53,192,0.00,0.00,100.00,50
137,4.7875,0.0958,34.82,43.06,311.97,69.16,256,0.00,0.00,100.00,50
138,6.2975,0.1260,8.66,684.55,44.57,333.95,256,0.00,0.00,100.00,50
139,7.4783,0.1496,3.51,87.35,9.74,56.62,256,0.00,0.00,100.00,50
140,4.0417,0.0808,321.28,419.71,9746.25,405.04,256,0.00,0.00,100.00,50
141,6.3670,0.1273,11.83,419.68,48.31,339.71,256,0.00,0.00,100.00,50
142,7.0752,0.1415,3.36,58.20,9.04,55.93,128,0.00,0.00,100.00,50
143,7.3727,0.1475,82.55,419.70,2182.61,321.10,256,0.00,0.00,100.00,50
144,8.2238,0.1645,6.29,251.97,13.42,53.25,128,0.00,0.00,100.00,50
145,7.7202,0.1544,18.61,87.37,77.66,61.05,256,0.00,0.00,100.00,50
146,6.5945,0.1319,8.66,684.55,44.57,333.95,256,0.00,0.00,100.00,50
147,8.0000,0.1600,209.56,253.93,1552.49,206.21,192,0.00,0.00,100.00,50
148,5.2673,0.1053,29.62,34.92,188.47,69.01,128,0.00,0.00,100.00,50
149,6.3965,0.1279,28.50,69.96,77.57,64.44,192,0.00,0.00,100.00,50
150,8.5647,0.1713,161.86,240.59,3586.50,285.01,192,0.00,0.00,100.00,50
151,9.0264,0.1805,44.85,87.36,241.79,65.72,256,0.00,0.00,100.00,50
152,6.8629,0.1373,106.77,251.99,218.08,62.87,128,0.00,0.00,100.00,50
153,4.6855,0.0937,96.56,130.12,634.08,183.01,128,0.00,0.00,100.00,50
154,7.8795,0.1576,8.26,130.13,35.35,239.43,128,0.00,0.00,100.00,50
155,5.1987,0.1040,82.55,419.70,2182.61,321.10,256,0.00,0.00,100.00,50
156,7.2448,0.1449,8.66,684.55,44.57,333.95,256,0.00,0.00,100.00,50
157,6.3919,0.1278,3.51,87.35,9.74,56.62,256,0.00,0.00,100.00,50
158,7.2046,0.1441,161.86,240.59,3586.50,285.01,192,0.00,0.00,100.00,50
159,6.6814,0.1336,3.49,69.96,7.57,54.20,192,0.00,0.00,100.00,50
160,4.3606,0.0872,10.88,240.60,23.56,56.70,192,0.00,0.00,100.00,50
161,6.8795,0.1376,38.09,130.12,1085.72,271.61,128,0.00,0.00,100.00,50
162,5.2750,0.1055,29.62,684.57,503.88,225.55,256,0.00,0.00,100.00,50
163,5.3990,0.1080,32.17,58.23,225.79,69.23,128,0.00,0.00,100.00,50
164,5.3535,0.1071,10.44,43.07,60.71,60.83,256,0.00,0.00,100.00,50
165,5.1870,0.1037,34.82,43.06,311.97,69.16,256,0.00,0.00,100.00,50
166,4.9232,0.0985,12.33,69.96,60.39,60.13,192,0.00,0.00,100.00,50
167,6.3702,0.1274,2.99,34.93,11.75,57.47,128,0.00,0.00,100.00,50
168,5.5622,0.1112,10.44,43.07,60.71,60.83,256,0.00,0.00,100.00,50
169,6.3453,0.1269,11.83,419.68,48.31,339.71,256,0.00,0.00,100.00,50
170,5.7668,0.1153,52.15,251.99,112.82,59.78,128,0.00,0.00,100.00,50
171,4.9607,0.0992,44.85,87.36,241.79,65.72,256,0.00,0.00,100.00,50
172,7.9486,0.1590,196.95,130.11,7756.61,394.46,128,0.00,0.00,100.00,50
173,4.5346,0.0907,6.91,43.07,37.08,58.92,256,0.00,0.00,100.00,50
174,5.4345,0.1087,106.77,251.99,218.08,62.87,128,0.00,0.00,100.00,50
175,6.6373,0.1327,15.82,684.57,279.82,279.23,256,0.00,0.00,100.00,50
176,6.8622,0.1372,350.99,240.59,8941.61,352.63,192,0.00,0.00,100.00,50
177,6.5155,0.1303,22.12,497.22,468.13,209.53,192,0.00,0.00,100.00,50
178,6.2072,0.1241,196.95,130.11,7756.61,394.46,128,0.00,0.00,100.00,50
179,7.1447,0.1429,22.12,497.22,468.13,209.53,192,0.00,0.00,100.00,50
180,4.0507,0.0810,161.86,240.59,3586.50,285.01,192,0.00,0.00,100.00,50
181,5.3174,0.1063,28.50,69.96,77.57,64.44,192,0.00,0.00,100.00,50
182,6.3426,0.1269,176.15,497.22,2223.68,294.79,192,0.00,0.00,100.00,50
183,4.8123,0.0962,122.70,251.99,1669.30,288.55,128,0.00,0.00,100.00,50
184,2.8817,0.0576,8.26,130.13,35.35,239.43,128,0.00,0.00,100.00,50
185,6.2309,0.1246,88.73,87.37,366.09,73.36,256,0.00,0.00,100.00,50
186,5.0127,0.1003,86.49,684.57,2525.74,361.16,256,0.00,0.00,100.00,50
187,7.4019,0.1480,270.48,251.99,606.25,70.97,128,0.00,0.00,100.00,50
188,7.0957,0.1419,9.80,87.36,47.17,58.91,256,0.00,0.00,100.00,50
189,6.9919,0.1398,15.82,684.57,279.82,279.23,256,0.00,0.00,100.00,50
190,5.6561,0.1131,22.12,497.22,468.13,209.53,192,0.00,0.00,100.00,50
191,7.4284,0.1486,10.67,58.23,64.12,60.14,128,0.00,0.00,100.00,50
192,5.3823,0.1076,19.79,34.92,117.47,63.50,128,0.00,0.00,100.00,50
193,7.5667,0.1513,3.09,43.06,12.31,58.00,256,0.00,0.00,100.00,50
194,6.0873,0.1217,209.56,253.93,1552.49,206.21,192,0.00,0.00,100.00,50
195,7.6001,0.1520,2.99,34.93,11.75,57.47,128,0.00,0.00,100.00,50
196,4.7296,0.0946,32.17,58.23,225.79,69.23,128,0.00,0.00,100.00,50
197,4.0847,0.0817,6.46,58.23,31.99,59.05,128,0.00,0.00,100.00,50
198,8.0347,0.1607,9.80,87.36,47.17,58.91,256,0.00,0.00,100.00,50
199,5.8322,0.1166,46.37,497.22,1112.05,241.47,192,0.00,0.00,100.00,50
200,6.9269,0.1385,32.17,58.23,225.79,69.23,128,0.00,0.00,100.00,50
