episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
147,31.3505,0.6270,161.86,240.59,3586.50,285.01,192,926.60,282.42,97.40,50
148,28.8585,0.5772,418.27,256.81,10192.40,333.47,192,950.89,302.36,100.00,50
149,30.0312,0.6006,270.48,251.99,606.25,70.97,128,896.30,299.03,92.56,50
150,31.0652,0.6213,9.80,87.36,47.17,58.91,256,922.84,273.33,99.11,50
151,31.0994,0.6220,196.95,130.11,7756.61,394.46,128,876.32,284.87,87.01,50
152,30.3595,0.6072,32.17,58.23,225.79,69.23,128,788.47,263.84,89.72,50
153,30.5083,0.6102,20.02,43.06,183.09,63.56,256,943.08,293.72,97.42,50
154,29.0600,0.5812,9.80,87.36,47.17,58.91,256,773.32,259.63,86.37,50
155,29.5983,0.5920,8.26,130.13,35.35,239.43,128,781.56,243.55,100.00,50
156,30.7175,0.6144,10.44,43.07,60.71,60.83,256,765.09,252.68,99.36,50
157,29.7084,0.5942,29.62,34.92,188.47,69.01,128,861.79,273.11,88.62,50
158,30.7652,0.6153,28.50,69.96,77.57,64.44,192,761.28,265.78,97.19,50
159,30.1156,0.6023,209.56,253.93,1552.49,206.21,192,855.19,256.56,97.61,50
160,29.3839,0.5877,32.17,58.23,225.79,69.23,128,876.77,273.21,98.69,50
161,27.8044,0.5561,52.15,251.99,112.82,59.78,128,907.10,261.15,98.53,50
162,30.8278,0.6166,10.67,58.23,64.12,60.14,128,955.63,280.08,89.09,50
163,30.6308,0.6126,196.95,130.11,7756.61,394.46,128,809.75,272.89,86.00,50
164,31.5158,0.6303,20.02,43.06,183.09,63.56,256,959.55,306.34,99.00,50
165,30.2306,0.6046,12.33,69.96,60.39,60.13,192,836.76,255.57,87.10,50
166,29.3821,0.5876,8.26,130.13,35.35,239.43,128,884.28,303.28,85.71,50
167,31.2734,0.6255,52.15,251.99,112.82,59.78,128,799.61,255.55,85.07,50
168,29.6216,0.5924,8.66,684.55,44.57,333.95,256,781.16,241.18,94.30,50
169,31.8098,0.6362,6.46,58.23,31.99,59.05,128,769.56,251.88,85.93,50
170,29.0510,0.5810,34.82,43.06,311.97,69.16,256,950.15,323.27,99.16,50
171,29.5269,0.5905,6.91,43.07,37.08,58.92,256,819.62,289.06,100.00,50
172,31.0423,0.6208,6.29,251.97,13.42,53.25,128,941.38,293.01,88.58,50
173,30.2402,0.6048,418.27,256.81,10192.40,333.47,192,805.20,253.00,88.59,50
174,30.4052,0.6081,32.17,58.23,225.79,69.23,128,864.11,292.57,86.25,50
175,30.7003,0.6140,118.53,130.11,3499.14,360.50,128,783.26,275.41,88.49,50
176,29.5285,0.5906,418.27,256.81,10192.40,333.47,192,783.08,250.21,93.99,50
177,30.4778,0.6096,2.99,34.93,11.75,57.47,128,919.89,297.44,100.00,50
178,30.6659,0.6133,82.55,419.70,2182.61,321.10,256,960.61,283.85,99.32,50
179,30.1493,0.6030,196.95,130.11,7756.61,394.46,128,922.31,283.49,93.74,50
180,28.8271,0.5765,161.86,240.59,3586.50,285.01,192,869.46,284.25,97.83,50
181,30.9402,0.6188,209.56,253.93,1552.49,206.21,192,968.48,304.64,86.02,50
182,30.6285,0.6126,46.37,497.22,1112.05,241.47,192,852.23,271.97,99.15,50
183,29.6199,0.5924,6.91,43.07,37.08,58.92,256,760.89,218.59,90.25,50
184,29.8394,0.5968,118.53,130.11,3499.14,360.50,128,860.42,288.67,97.91,50
185,30.6971,0.6139,32.17,58.23,225.79,69.23,128,743.98,258.45,99.24,50
186,29.8786,0.5976,6.91,43.07,37.08,58.92,256,921.49,294.68,97.48,50
187,30.2047,0.6041,10.88,240.60,23.56,56.70,192,899.29,282.45,89.52,50
188,31.0690,0.6214,29.62,34.92,188.47,69.01,128,965.94,314.05,99.25,50
189,30.1325,0.6027,10.67,58.23,64.12,60.14,128,654.62,241.12,87.81,50
190,30.1442,0.6029,6.29,251.97,13.42,53.25,128,758.95,271.57,94.76,50
191,29.9441,0.5989,321.28,419.71,9746.25,405.04,256,918.00,285.56,98.93,50
192,29.7115,0.5942,10.67,58.23,64.12,60.14,128,972.06,305.90,97.48,50
193,30.1998,0.6040,9.80,87.36,47.17,58.91,256,838.50,248.08,90.42,50
194,30.1053,0.6021,106.77,251.99,218.08,62.87,128,904.55,265.16,97.10,50
195,31.3025,0.6260,29.62,34.92,188.47,69.01,128,849.10,272.39,99.45,50
196,30.1245,0.6025,34.82,43.06,311.97,69.16,256,790.19,314.06,97.83,50
197,30.1093,0.6022,19.79,34.92,117.47,63.50,128,817.13,328.03,87.35,50
198,31.2551,0.6251,3.36,58.20,9.04,55.93,128,882.64,258.52,97.68,50
199,31.5229,0.6305,82.55,419.70,2182.61,321.10,256,849.05,264.54,94.87,50
200,30.2963,0.6059,6.46,58.23,31.99,59.05,128,901.89,307.87,86.31,50
